LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Total units with commencement date,Toal units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
22/0938/FUL,London Borough of Barnet,01/03/2022,Approved,All Other,"Removal of existing outbuildings. Two storey side and rear extension to existing building to create extended ground floor office unit and use of existing first floor flat as two bedroom flat. Addition of 2no self contained flats with amenity space at rear, associated bin, cycle storage, and provision of off street parking",,5,Plantagenet Road,New Barnet,EN5 5JG,,,,,2,0,2,,,Approved,28/04/2022,,,
22/02720/FULL1,Bromley Custodian Code,20/07/2022,Approved,All Other,Conversion of stable building to 3-bedroom dwellinghouse with associated parking and amenity space.,The Holding,,Chelsfield Hill,,BR6 7SL,,,,,1,0,1,,,Approved,16/02/2023,,,
22/4265/FUL,London Borough of Barnet,22/08/2022,Approved,All Other,Erection of a two storey building comprising 4no. self-contained flats. Associated cycle/refuse and recycling storage area,Rear Of 51 - 57 Brent Street London NW4 2EA,,,,NW4 2EA,,,,,4,0,4,,,Approved,30/12/2022,,,
22/3385/FUL,London Borough of Barnet,27/07/2022,Approved,All Other,"Erection of a three to five storey building containing 60no. self-contained residential units with associated amenity space, landscaping, parking, servicing access and cycle and refuse store facilities",Dolman Close London N3 2EX,,,,N3 2EX,,,,,62,0,62,,,Approved,28/12/2022,,,
21/2330/FUL,London Borough of Barnet,28/04/2021,Approved,All Other,"Two storey detached single family dwellinghouse with associated amenity space, refuse and cycle storage and car parking",Land To Rear Of 43 Henry Road Barnet EN4 8BG,,,,EN4 8BG,,,,,1,0,1,,,Approved,16/06/2022,,,
22/3485/FUL,London Borough of Barnet,05/07/2022,Approved,All Other,"Ground and first floor rear extension, external alterations, and upward extension to create a four storey building comprising retained Class E commercial unit on the ground floor with 3no. self-contained flats above with associated car parking, bin, and cycle stores",,21,Colindale Avenue,Colindale,NW9 5DS,,,,,3,2,1,,,Approved,15/12/2022,,,
22/00563/FUL,Royal Borough of Kingston (LA Code),18/03/2022,Approved,All Other,"Demolition of existing bungalow and erection of 2no.x semi-detached dwellings with off street parking (including a new crossover), landscaping, refuse and cycle parking provision.",168A Hook Rise NorthTolworthSurbitonKT6 7JU,168A,Hook Rise North,,KT6 7JU,,,,,2,0,2,,,Approved,05/05/2022,,,https://publicaccess.kingston.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=R7P58INHHAQ00
22/02388/FUL,Royal Borough of Kingston (LA Code),12/08/2022,Approved,All Other,"Proposed erection of three storey rear extension and conversion of house into 3no. self-contained flats with associated landscaping, refuse/recycling facilities and cycle store",,61,Ditton Road,,KT6 6RF,,,,,5,1,4,,,Approved,13/12/2022,,,https://publicaccess.kingston.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RFDLQYNHJMJ00
22/01967/FUL,Royal Borough of Kingston (LA Code),15/06/2022,Approved,All Other,"Proposed demolition of an existing single storey rear extension and erection of a two storey rear extension and conversion of the existing House in Multiple Occupation into 5 no. self contained flats with refuse storage, bicycle storage, boundary walls and railings, landscaping and amenity space.",,12,Lingfield Avenue,,KT1 2TN,,,,,5,0,5,,,Approved,21/12/2022,,,https://publicaccess.kingston.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RDIBH8NHJ4K00
22/00014/FUL,Royal Borough of Kingston (LA Code),15/02/2022,Approved,All Other,Change of use from dwelling (Use Class C3) to temporary office facility (Use Class B1(a)) for phase 1 of the regeneration programme,Caldecote,,Excelsior Close,,KT1 3EH,,,,,0,2,-2,,,Approved,12/09/2022,,,https://publicaccess.kingston.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=R570IPNHGJ900
21/03813/FUL,Royal Borough of Kingston (LA Code),04/01/2022,Approved,All Other,"Demolition of all buildings on site and erection of part three, part four storey building to provide 222sqm commercial and 9no.x dwellings",Fox House,,Hook Road,,KT6 5AN,,,,,9,0,9,,,Approved,25/01/2023,,,https://publicaccess.kingston.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=R3E6BZNHG4000
22/02211/FUL,Royal Borough of Kingston (LA Code),06/07/2022,Approved,All Other,"Erection of single storey rear extension, raising roof height and conversion of existing dwelling to create 2 nos dwellings.",,22A,Leyfield,,KT4 7LS,,,,,2,0,2,,,Approved,31/08/2022,,,https://publicaccess.kingston.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=REL7HUNHJEX00
22/01233/FUL,Royal Borough of Kingston (LA Code),21/04/2022,Approved,All Other,"Demolition of existing buildings and erection of 6 x terrace houses with associated parking, amenity space, individual sheds, cycle stores and refuse/recycling facilities.",Heather Court,"2A, 2",Hunters Road,,KT9 1RZ,,,,,7,0,7,,,Approved,30/09/2022,,,https://publicaccess.kingston.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RA6KMGNHIB000
22/01867/PAMA,Royal Borough of Kingston (LA Code),09/06/2022,Approved,Prior Approval,Conversion of use (Retail (Class E) to self-contained dwellinghouse (Class C3) with associated refuse/recycling facilities,,77,Brighton Road,,KT6 5NF,,,,,1,0,1,,,Approved,04/08/2022,,,https://publicaccess.kingston.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RD3TA0NH05400
22/01776/FUL,Royal Borough of Kingston (LA Code),25/05/2022,Approved,All Other,Change of use from beauty salon (Use Class Sui Generis) to a dwelling (Use Class C3),,118,Canbury Park Road,,KT2 6JZ,,,,,1,0,1,,,Approved,27/06/2022,,,https://publicaccess.kingston.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RCJG54NH04300
22/03444/FUL,Royal Borough of Kingston (LA Code),04/11/2022,Approved,All Other,"Erection of detached single family dwelling (1 bedroom, 2 person) with private rear garden",Land To Rear Of83A Tolworth RoadSurbitonKT6 7TA,83A,Tolworth Road,,KT6 7TA,,,,,1,0,1,,,Approved,19/01/2023,,,https://publicaccess.kingston.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RKD5MYNHKYT00
22/02646/FUL,Royal Borough of Kingston (LA Code),15/08/2022,Approved,All Other,Erection of roof extension with 3 nos front dormer to create 1 no 2 bed flat.,,8,Eden Street,,KT1 1BB,,,,,1,0,1,,,Approved,20/01/2023,,,https://publicaccess.kingston.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RGNL9FNHJY600
22/02600/FUL,Royal Borough of Kingston (LA Code),11/08/2022,Approved,All Other,Erection of a two storey 2 bed house to the rear of the existing property at 71 Windsor Avenue.,Rear Of 71 Windsor AvenueNew MaldenKT3 5HE,71,Windsor Avenue,,KT3 5HE,,,,,1,0,1,,,Approved,12/10/2022,,,https://publicaccess.kingston.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RGFVHPNHJWD00
22/00017/FUL,London Borough of Bexley,26/07/2022,Approved,All Other,"Erection of 4 storey block of 9 apartments (3 x 1bed, 5 x 2bed and 1 x 3bed) and 1 commercial unit incorporating car spaces and 3 garages on the ground floor.",Land Rear Of 198,,Broadway,,,,,,,9,0,9,,,Approved,28/09/2022,,,
22/2943/FUL,London Borough of Barnet,08/06/2022,Approved,All Other,Conversion of the existing dwelling into 4no self-contained flats including basement rear extension. Associated refuse/recycling and cycle parking,,608,High Road,North Finchley,N12 0AA,,,,,4,1,3,,,Approved,28/11/2022,,,
22/01688/FUL,Royal Borough of Kingston (LA Code),20/05/2022,Approved,All Other,"Erection of new 1x3 bed house. Demolition of existing garage, erection of part two storey/part single storey rear extension, hip to gable roof extension with rear dormer and installation of 2 nos front rooflights to facilitate loft conversion in the existing house.",,41,Compton Crescent,,KT9 2HD,,,,,1,0,1,,,Approved,18/07/2022,,,https://publicaccess.kingston.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RC6MVONHITW00
23/00284/FUL,Royal Borough of Kingston (LA Code),13/02/2023,Approved,All Other,"Conversion of a single dwelling into 2 self contained units comprised of 1no 1-bedroom unit and 1no 5-bedroom unit, including vehicle parking, cycle storage and refuse storage.",,53,Blakes Lane,,KT3 6NS,,,,,2,0,2,,,Approved,27/03/2023,,,https://publicaccess.kingston.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RPIF4ZNHM3300
22/01761/CPU,Royal Borough of Kingston (LA Code),27/06/2022,Approved,All Other,Change of use from C3 dwelling house to HMO (Use Class C4) up to 6 people and internal alteration,Clarence Villas,1,Hawks Road,,KT1 3DA,,,,,1,1,0,,,Approved,17/08/2022,,,https://publicaccess.kingston.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RCJ4TUNHIX000
